# Stability checks for fixed-tp Y2 shape ansaetze
# model global_rel loo_holdout_rel loo_holdout_p95 pred_spread_mean pred_spread_max
log_hilltop_plus_const 5.1787692977e-03 1.4056849602e-02 2.6724838598e-02 3.0905030933e-03 6.9800808565e-03
# param roughness sign_changes mean_jk_std
c0 5.9486179429e+00 18 1.8060327515e-02
A 1.9541275148e+00 2 1.7598557206e-02
alpha 2.0301762570e+00 0 3.1533723062e-02
# tp holdout_rel_rmse pred_rel_spread_mean c0_jk_std A_jk_std alpha_jk_std
6.2146602980e-01 8.2218108984e-03 2.2906335167e-03 9.8057097714e-03 7.7802182753e-03 1.7455755916e-02
6.2500000000e-01 8.2130978534e-03 2.2874268615e-03 9.7316412566e-03 7.7222045109e-03 1.7454180302e-02
6.5364817461e-01 8.1164713894e-03 2.2542084945e-03 9.1363447653e-03 7.2543544594e-03 1.7379371219e-02
6.8360949787e-01 8.0276412867e-03 2.2229740850e-03 8.5921858522e-03 6.8271657774e-03 1.7327983629e-02
7.1494416069e-01 7.9312764590e-03 2.1894723591e-03 8.0783903082e-03 6.4234931422e-03 1.7263784225e-02
7.4771511293e-01 7.8349150546e-03 2.1558175605e-03 7.6009679764e-03 6.0484204329e-03 1.7204371763e-02
7.8198818991e-01 7.7382097126e-03 2.1219301955e-03 7.1569167589e-03 5.6995576526e-03 1.7148824085e-02
8.1783224464e-01 7.6478163332e-03 2.0896442131e-03 6.7499176878e-03 5.3800614459e-03 1.7113153458e-02
8.5531928615e-01 7.5543476983e-03 2.0564020267e-03 6.3687014870e-03 5.0807202321e-03 1.7075000262e-02
8.9452462416e-01 7.4630860678e-03 2.0236832126e-03 6.0160015725e-03 4.8037870101e-03 1.7046578271e-02
9.3552702036e-01 7.3816497294e-03 1.9935419323e-03 5.6957387637e-03 4.5526773842e-03 1.7047169901e-02
9.7840884664e-01 7.3031672417e-03 1.9641324061e-03 5.3999209945e-03 4.3208157413e-03 1.7060093776e-02
1.0232562506e+00 7.2304740377e-03 1.9362410269e-03 5.1288336473e-03 4.1085096468e-03 1.7092786912e-02
1.0701593286e+00 7.1628579529e-03 1.9096666999e-03 4.8800535257e-03 3.9138806476e-03 1.7144083704e-02
1.1192123067e+00 7.1123866914e-03 1.8875996001e-03 4.6599989747e-03 3.7423468017e-03 1.7245529076e-02
1.1705137300e+00 7.0648312259e-03 1.8662899658e-03 4.4570671223e-03 3.5842924370e-03 1.7361566388e-02
1.2241666608e+00 7.0306446379e-03 1.8484757251e-03 4.2766024167e-03 3.4442716635e-03 1.7520331087e-02
1.2802788852e+00 7.0089763430e-03 1.8339183910e-03 4.1163694710e-03 3.3204993725e-03 1.7721138590e-02
1.3389631300e+00 7.0046728198e-03 1.8238467454e-03 3.9776884531e-03 3.2141722660e-03 1.7978809299e-02
1.4003372893e+00 7.0088439317e-03 1.8159427292e-03 3.8540029747e-03 3.1199066453e-03 1.8271525326e-02
1.4645246608e+00 7.0303392070e-03 1.8124868513e-03 3.7492486285e-03 3.0410222426e-03 1.8625159097e-02
1.5316541939e+00 7.0730540911e-03 1.8144148833e-03 3.6642331621e-03 2.9783337485e-03 1.9053802167e-02
1.6018607488e+00 7.1285797434e-03 1.8195715094e-03 3.5934837427e-03 2.9273215422e-03 1.9536975092e-02
1.6752853671e+00 7.2017556966e-03 1.8291564540e-03 3.5387649602e-03 2.8895663016e-03 2.0091729655e-02
1.7520755554e+00 7.2914710041e-03 1.8428653547e-03 3.4988291529e-03 2.8641162002e-03 2.0718570032e-02
1.8323855817e+00 7.4040246187e-03 1.8622356868e-03 3.4761659332e-03 2.8531869844e-03 2.1440565556e-02
1.9163767851e+00 7.5249512008e-03 1.8836722847e-03 3.4635356538e-03 2.8507359808e-03 2.2218614245e-02
2.0042178999e+00 7.6658694444e-03 1.9100333513e-03 3.4662486351e-03 2.8613838435e-03 2.3092503519e-02
2.0960853948e+00 7.8221213193e-03 1.9401623204e-03 3.4820733792e-03 2.8833472618e-03 2.4053070679e-02
2.1921638274e+00 7.9924893336e-03 1.9737369946e-03 3.5105947283e-03 2.9163998919e-03 2.5101815050e-02
2.2926462148e+00 8.1706408216e-03 2.0093001141e-03 3.5493056403e-03 2.9584965460e-03 2.6222619991e-02
2.3977344213e+00 8.3570459578e-03 2.0469324260e-03 3.5987722908e-03 3.0101965048e-03 2.7421576675e-02
2.5076395643e+00 8.5631080757e-03 2.0893822074e-03 3.6649209925e-03 3.0769147295e-03 2.8744291546e-02
